0

HTTP/1.1 200 OK
Server: nginx
Date: Thu, 08 Jun 2017 08:42:46 GMT
Content-Type: application/octet-stream
Transfer-Encoding: chunked
Connection: keep-alive
Pragma: no-cache
Cache-Control: no-cache
Accept-Ranges: bytes
Last-Modified: Thu, 01 Jun 2017 05:15:53 GMT
Content-Range: bytes 0-1065009/1065010
ETag: "1496294153.22-1065010"

1f0f
﻿第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
dataset-00000001,2016年,12月,1,2016/12/08,/dataset-00000001,1,1,201612
dataset-00000002,2016年,12月,1,2016/12/08,/dataset-00000002,1,1,201612
dataset-00000002,2016年,12月,1,2016/12/08,/dataset-00000002/,6,2,201612
dataset-00000005,2016年,12月,1,2016/12/08,/dataset-00000005,1,1,201612
dataset-00000007,2016年,12月,1,2016/12/08,/dataset-00000007,7,4,201612
dataset-00000007,2016年,12月,1,2016/12/08,/dataset-00000007/,8,8,201612
dataset-00000010,2016年,12月,1,2016/12/08,/dataset-00000010,3,2,201612
dataset-00000010,2016年,12月,1,2016/12/08,/dataset-00000010/,4,2,201612
dataset-00000011,2016年,12月,1,2016/12/08,/dataset-00000011,2,1,201612
dataset-00000011,2016年,12月,1,2016/12/08,/dataset-00000011/,2,2,201612
dataset-00000012,2016年,12月,1,2016/12/08,/dataset-00000012,2,1,201612
dataset-00000012,2016年,12月,1,2016/12/08,/dataset-00000012/,6,4,201612
dataset-00000019,2016年,12月,1,2016/12/08,/dataset-00000019,4,3,201612
dataset-00000019,2016年,12月,1,2016/12/08,/dataset-00000019/,4,4,201612
dataset-00000021,2016年,12月,1,2016/12/08,/dataset-00000021,1,1,201612
dataset-00000021,2016年,12月,1,2016/12/08,/dataset-00000021/,2,2,201612
dataset-00000022,2016年,12月,1,2016/12/08,/dataset-00000022,1,1,201612
dataset-00000022,2016年,12月,1,2016/12/08,/dataset-00000022/,2,2,201612
dataset-00000035,2016年,12月,1,2016/12/08,/dataset-00000035,1,1,201612
dataset-00000035,2016年,12月,1,2016/12/08,/dataset-00000035/,2,2,201612
dataset-00000045,2016年,12月,1,2016/12/08,/dataset-00000045,1,1,201612
dataset-00000045,2016年,12月,1,2016/12/08,/dataset-00000045/,2,1,201612
dataset-00000048,2016年,12月,1,2016/12/08,/dataset-00000048,3,2,201612
dataset-00000048,2016年,12月,1,2016/12/08,/dataset-00000048/,2,2,201612
dataset-00000049,2016年,12月,1,2016/12/08,/dataset-00000049,1,1,201612
dataset-00000049,2016年,12月,1,2016/12/08,/dataset-00000049/,2,1,201612
dataset-00000051,2016年,12月,1,2016/12/08,/dataset-00000051,4,2,201612
dataset-00000051,2016年,12月,1,2016/12/08,/dataset-00000051/,3,2,201612
dataset-00000053,2016年,12月,1,2016/12/08,/dataset-00000053,1,1,201612
dataset-00000054,2016年,12月,1,2016/12/08,/dataset-00000054,8,6,201612
dataset-00000054,2016年,12月,1,2016/12/08,/dataset-00000054/,8,8,201612
gr_0010,2016年,12月,1,2016/12/08,/gr_0010,21,9,201612
gr_0020,2016年,12月,1,2016/12/08,/gr_0020,18,8,201612
gr_0020?page=2,2016年,12月,1,2016/12/08,/gr_0020?page=2,4,2,201612
gr_0030,2016年,12月,1,2016/12/08,/gr_0030,3,2,201612
gr_0040,2016年,12月,1,2016/12/08,/gr_0040,7,4,201612
gr_0050,2016年,12月,1,2016/12/08,/gr_0050,7,6,201612
gr_0060,2016年,12月,1,2016/12/08,/gr_0060,6,5,201612
gr_0070,2016年,12月,1,2016/12/08,/gr_0070,3,3,201612
gr_0080,2016年,12月,1,2016/12/08,/gr_0080,6,4,201612
http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,2016年,12月,1,2016/12/08,/http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,1,1,201612
kanko,2016年,12月,1,2016/12/08,/kanko/,1,1,201612
org_0120,2016年,12月,1,2016/12/08,/org_0120,1,1,201612
0f6fa0bc-0b25-4796-8197-8f0735f1cd14?res_format=CSV,2016年,12月,1,2016/12/09,/0f6fa0bc-0b25-4796-8197-8f0735f1cd14?res_format=CSV,1,1,201612
about,2016年,12月,1,2016/12/09,/about/,2,1,201612
activity,2016年,12月,1,2016/12/09,/activity/,1,1,201612
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,2016年,12月,1,2016/12/09,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0010,2,1,201612
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2016年,12月,1,2016/12/09,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,1,1,201612
dataset-00000004,2016年,12月,1,2016/12/09,/dataset-00000004/,2,2,201612
dataset-00000006,2016年,12月,1,2016/12/09,/dataset-00000006,2,1,201612
dataset-00000008,2016年,12月,1,2016/12/09,/dataset-00000008,1,1,201612
dataset-00000008,2016年,12月,1,2016/12/09,/dataset-00000008/,2,2,201612
dataset-00000009,2016年,12月,1,2016/12/09,/dataset-00000009,2,1,201612
dataset-00000009,2016年,12月,1,2016/12/09,/dataset-00000009/,2,2,201612
dataset-00000010,2016年,12月,1,2016/12/09,/dataset-00000010,4,2,201612
dataset-00000010,2016年,12月,1,2016/12/09,/dataset-00000010/,4,3,201612
dataset-00000011,2016年,12月,1,2016/12/09,/dataset-00000011,3,2,201612
dataset-00000011,2016年,12月,1,2016/12/09,/dataset-00000011/,4,4,201612
dataset-00000014,2016年,12月,1,2016/12/09,/dataset-00000014,2,1,201612
dataset-00000014,2016年,12月,1,2016/12/09,/dataset-00000014/,1,1,201612
dataset-00000018,2016年,12月,1,2016/12/
2000
09,/dataset-00000018,2,1,201612
dataset-00000018,2016年,12月,1,2016/12/09,/dataset-00000018/,2,2,201612
dataset-00000048,2016年,12月,1,2016/12/09,/dataset-00000048,1,1,201612
dataset-00000048,2016年,12月,1,2016/12/09,/dataset-00000048/,1,1,201612
dataset-00000051,2016年,12月,1,2016/12/09,/dataset-00000051,1,1,201612
dataset-00000054,2016年,12月,1,2016/12/09,/dataset-00000054,2,1,201612
dataset-00000054,2016年,12月,1,2016/12/09,/dataset-00000054/,2,2,201612
gr_0010,2016年,12月,1,2016/12/09,/gr_0010,8,5,201612
gr_0020,2016年,12月,1,2016/12/09,/gr_0020,6,5,201612
gr_0030,2016年,12月,1,2016/12/09,/gr_0030,3,3,201612
gr_0040,2016年,12月,1,2016/12/09,/gr_0040,9,3,201612
gr_0060,2016年,12月,1,2016/12/09,/gr_0060,4,3,201612
gr_0070,2016年,12月,1,2016/12/09,/gr_0070,1,1,201612
http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,2016年,12月,1,2016/12/09,/http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,1,1,201612
http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,2016年,12月,1,2016/12/09,/http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi/,1,1,201612
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,2016年,12月,1,2016/12/10,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?groups=gr_0010,1,1,201612
dataset-00000002,2016年,12月,1,2016/12/10,/dataset-00000002,2,1,201612
dataset-00000002,2016年,12月,1,2016/12/10,/dataset-00000002/,2,2,201612
dataset-00000049,2016年,12月,1,2016/12/10,/dataset-00000049,1,1,201612
dataset-00000054,2016年,12月,1,2016/12/10,/dataset-00000054,3,3,201612
gr_0010,2016年,12月,1,2016/12/10,/gr_0010,4,3,201612
dataset-00000006,2016年,12月,1,2016/12/11,/dataset-00000006,2,1,201612
dataset-00000006,2016年,12月,1,2016/12/11,/dataset-00000006/,2,2,201612
dataset-00000009,2016年,12月,1,2016/12/11,/dataset-00000009,2,1,201612
dataset-00000009,2016年,12月,1,2016/12/11,/dataset-00000009/,2,2,201612
dataset-00000010,2016年,12月,1,2016/12/11,/dataset-00000010,1,1,201612
dataset-00000010,2016年,12月,1,2016/12/11,/dataset-00000010/,2,2,201612
dataset-00000054,2016年,12月,1,2016/12/11,/dataset-00000054,2,1,201612
dataset-00000054,2016年,12月,1,2016/12/11,/dataset-00000054/,2,2,201612
gr_0010,2016年,12月,1,2016/12/11,/gr_0010,5,2,201612
gr_0060,2016年,12月,1,2016/12/11,/gr_0060,1,1,201612
?sort=released,2016年,12月,1,2016/12/12,/?sort=released,2,1,201612
5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0140,2016年,12月,1,2016/12/12,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0140,2,1,201612
5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0150,2016年,12月,1,2016/12/12,/5eccbc53-86ea-482a-8594-5224aaf5f2c6?organization=org_0150,1,1,201612
activity,2016年,12月,1,2016/12/12,/activity/,1,1,201612
b18a8508-9e22-4355-9d36-d8c4d94b7df9,2016年,12月,1,2016/12/12,/b18a8508-9e22-4355-9d36-d8c4d94b7df9,2,1,201612
b18a8508-9e22-4355-9d36-d8c4d94b7df9?groups=gr_0020&organization=org_0040,2016年,12月,1,2016/12/12,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?groups=gr_0020&organization=org_0040,2,1,201612
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,12月,1,2016/12/12,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,4,1,201612
dataset-00000003,2016年,12月,1,2016/12/12,/dataset-00000003,2,1,201612
dataset-00000003,2016年,12月,1,2016/12/12,/dataset-00000003/,3,1,201612
dataset-00000004,2016年,12月,1,2016/12/12,/dataset-00000004,1,1,201612
dataset-00000004,2016年,12月,1,2016/12/12,/dataset-00000004/,6,4,201612
dataset-00000006,2016年,12月,1,2016/12/12,/dataset-00000006,1,1,201612
dataset-00000006,2016年,12月,1,2016/12/12,/dataset-00000006/,2,2,201612
dataset-00000007,2016年,12月,1,2016/12/12,/dataset-00000007,5,3,201612
dataset-00000007,2016年,12月,1,2016/12/12,/dataset-00000007/,12,10,201612
dataset-00000008,2016年,12月,1,2016/12/12,/dataset-00000008,2,1,201612
dataset-00000008,2016年,12月,1,2016/12/12,/dataset-00000008/,2,2,201612
dataset-00000010,2016年,12月,1,2016/12/12,/dataset-00000010,3,3,201612
dataset-00000011,2016年,12月,1,2016/12/12,/dataset-00000011,1,1,201612
dataset-00000019,2016年,12月,1,2016/12/12,/dataset-00000019,2,1,201612
dataset-00000019,2016年,12月,1,2016/12/12,/dataset-00000019/,2,2,201612
dataset-00000051,2016年,12月,1,2016/12/12,/dataset-00000051,2,1,201612
dataset-00000051,2016年,12月,1,2016/12/12,/dataset-00000051/,1,1,201612
dataset-00000052,2016年,12月,1,2016/12/12,/dataset-00000052,2,1,201612
dataset-00000052,2016年,12月,1,2016/12/12,/dataset-00000052/,2,1,201612
ef27eb5c-3744-4100-987d-c5b889d01a9c?organization=org_0150,2016年,12月,1,2016/12/12,/ef27eb5c-3744-4100-987d-c5b889d01a9c?organization=org_0150,1,1,201612
gr_0010,2016年,12月,1,2016/12/12,/gr_0010,11,8,201612
gr_0020,2016年,12月,1,2016/12/12,/gr_0020,7,5,201612
gr_0030,2016年,12月,1,2016/12/12,/gr_0030,3,3,201612
gr_0040,2016年,12月,1,2016/12/12,/gr_0040,8,6,201612
gr_0050,2016年,12月,1,2016/12/12,/gr_0050,2,2,201612
gr_0060,2016年,12月,1,2016/12/12,/gr_0060,7,5,201612
gr_0070,2016年,12月,1,2016/12/12,/gr_0070,4,3,201612
gr_0080,2016年,12月,1,2016/12/12,/gr_0080,6,3,201612
org_0150,2016年,12月,1,2016/12/12,/org_0150,1,1,201612
?sort=released,2016年,12月,1,2016/12/13,/?sort=released,1,1,201612
about,2016年,12月,1,2016/12/13,/about/,1,1,201612
b18a8508-9e22-4355-9d36-d8c4d94b7df9?groups=gr_0020,2016年,12月,1,2016/12/13,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?groups=gr_0020,1,1,201612
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?res_format=XLSX,2016年,12月,1,2016/12/13,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?res_format=XLSX,1,1,201612
dataset-00000002,2016年,12月,1,2016/12/13,/dataset-00000002,1,1,201612
dataset-00000005,2016年,12月,1,2016/12/13,/dataset-00000005,2,2,201612
dataset-00000006,2016年,12月,1,2016/12/13,/dataset-00000006,5,3,201612
dataset-00000006,2016年,12月,1,2016/12/13,/dataset-00000006/,4,4,201612
dataset-00000007,2016年,12月,1,2016/12/13,/dataset-00000007,14,4,201612
dataset-00000007,2016年,12月,1,2016/12/13,/dataset-00000007/,24,10,201612
dataset-00000008,2016年,12月,1,2016/12/13,/dataset-00000008,1,1,201612
dataset-00000009,2016年,12月,1,2016/12/13,/dataset-00000009,2,2,201612
dataset-00000010,2016年,12月,1,2016/12/13,/dataset-00000010,3,2,201612
dataset-00000010,2016年,12月,1,2016/12/13,/dataset-00000010/,6,4,201612
dataset-00000011,2016年,12月,1,2016/12/13,/dataset-00000011,2,1,201612
dataset-00000011,2016年,12月,1,2016/12/13,/dataset-00000011/,8,7,201612
dataset-00000012,2016年,12月,1,2016/12/13,/dataset-00000012,2,1,201612
dataset-00000012,2016年,12月,1,2016/12/13,/dataset-00000012/,2,2,201612
dataset-00000014,2016年,12月,1,2016/12/13,/dataset-00000014,1,1,201612
dataset-00000019,2016年,12月,1,2016/12/13,/dataset-00000019,2,1,201612
dataset-00000019,2016年,12月,1,2016/12/13,/dataset-00000019/,2,2,201612
dataset-00000021,2016年,12月,1,2016/12/13,/dataset-00000021,3,1,201612
dataset-00000021,2016年,12月,1,2016/12/13,/dataset-00000021/,2,2,201612
dataset-00000037,2016年,12月,1,2016/12/13,/dataset-00000037,2,1,201612
dataset-00000037,2016年,12月,1,2016/12/13,/dataset-00000037/,4,2,201612
dataset-00000053,2016年,12月,1,2016/12/13,/dataset-00000053/,1,1,201612
dataset-00000054,2016年,12月,1,2016/12/13,/dataset-00000054,4,3,201612
dataset-00000054,2016年,12月,1,2016/12/13,/dataset-00000054/,2,2,201612
gr_0010,2016年,12月,1,2016/12/13,/gr_0010,30,12,201612
gr_0020,2016年,12月,1,2016/12/13,/gr_0020,12,7,201612
gr_0020?page=2,2016年,12月,1,2016/12/13,/gr_0020?page=2,3,1,201612
gr_0030,2016年,12月,1,2016/12/13,/gr_0030,4,3,201612
gr_0040,2016年,12月,1,2016/12/13,/gr_0040,5,4,201612
gr_0050,2016年,12月,1,2016/12/13,/gr_0050,4,4,201612
gr_0060,2016年,12月,1,2016/12/13,/gr_0060,7,5,201612
gr_0070,2016年,12月,1,2016/12/13,/gr_0070,2,2,201612
gr_0080,2016年,12月,1,2016/12/13,/gr_0080,2,2,201612
http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,2016年,12月,1,2016/12/13,/http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,1
2000
,1,201612
iryo,2016年,12月,1,2016/12/13,/iryo/,1,1,201612
org_0080,2016年,12月,1,2016/12/13,/org_0080,1,1,201612
,2016年,12月,1,2016/12/14,/,1,1,201612
?s[category_id]=124,2016年,12月,1,2016/12/14,/?s[category_id]=124,2,1,201612
?s[category_id]=30,2016年,12月,1,2016/12/14,/?s[category_id]=30,1,1,201612
?utf8=✓&s[keyword]=分別&s[category_id]=30&s[area_id]=&s[tag]=&s[license]=&sort=released&search=検索,2016年,12月,1,2016/12/14,/?utf8=✓&s[keyword]=分別&s[category_id]=30&s[area_id]=&s[tag]=&s[license]=&sort=released&search=検索,1,1,201612
?utf8=✓&s[keyword]=分別&s[category_id]=30&s[area_id]=130&s[tag]=&s[license]=&sort=released&search=検索,2016年,12月,1,2016/12/14,/?utf8=✓&s[keyword]=分別&s[category_id]=30&s[area_id]=130&s[tag]=&s[license]=&sort=released&search=検索,2,1,201612
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,2016年,12月,1,2016/12/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0100,1,1,201612
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0170,2016年,12月,1,2016/12/14,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0170,1,1,201612
dataset-00000002,2016年,12月,1,2016/12/14,/dataset-00000002,3,2,201612
dataset-00000002,2016年,12月,1,2016/12/14,/dataset-00000002/,2,2,201612
dataset-00000003,2016年,12月,1,2016/12/14,/dataset-00000003,1,1,201612
dataset-00000005,2016年,12月,1,2016/12/14,/dataset-00000005,3,2,201612
dataset-00000005,2016年,12月,1,2016/12/14,/dataset-00000005/,4,2,201612
dataset-00000006,2016年,12月,1,2016/12/14,/dataset-00000006,3,2,201612
dataset-00000006,2016年,12月,1,2016/12/14,/dataset-00000006/,2,2,201612
dataset-00000007,2016年,12月,1,2016/12/14,/dataset-00000007,3,2,201612
dataset-00000007,2016年,12月,1,2016/12/14,/dataset-00000007/,2,2,201612
dataset-00000008,2016年,12月,1,2016/12/14,/dataset-00000008,1,1,201612
dataset-00000009,2016年,12月,1,2016/12/14,/dataset-00000009,3,3,201612
dataset-00000010,2016年,12月,1,2016/12/14,/dataset-00000010,2,2,201612
dataset-00000012,2016年,12月,1,2016/12/14,/dataset-00000012,2,1,201612
dataset-00000012,2016年,12月,1,2016/12/14,/dataset-00000012/,4,2,201612
dataset-00000013,2016年,12月,1,2016/12/14,/dataset-00000013,4,1,201612
dataset-00000013,2016年,12月,1,2016/12/14,/dataset-00000013/,4,1,201612
dataset-00000019,2016年,12月,1,2016/12/14,/dataset-00000019,2,1,201612
dataset-00000019,2016年,12月,1,2016/12/14,/dataset-00000019/,2,2,201612
dataset-00000021,2016年,12月,1,2016/12/14,/dataset-00000021,1,1,201612
dataset-00000021,2016年,12月,1,2016/12/14,/dataset-00000021/,2,2,201612
dataset-00000022,2016年,12月,1,2016/12/14,/dataset-00000022,2,1,201612
dataset-00000022,2016年,12月,1,2016/12/14,/dataset-00000022/,2,2,201612
dataset-00000023,2016年,12月,1,2016/12/14,/dataset-00000023,2,1,201612
dataset-00000023,2016年,12月,1,2016/12/14,/dataset-00000023/,2,2,201612
dataset-00000024,2016年,12月,1,2016/12/14,/dataset-00000024,2,1,201612
dataset-00000024,2016年,12月,1,2016/12/14,/dataset-00000024/,2,2,201612
dataset-00000025,2016年,12月,1,2016/12/14,/dataset-00000025,6,3,201612
dataset-00000025,2016年,12月,1,2016/12/14,/dataset-00000025/,6,4,201612
dataset-00000026,2016年,12月,1,2016/12/14,/dataset-00000026,2,1,201612
dataset-00000026,2016年,12月,1,2016/12/14,/dataset-00000026/,2,2,201612
dataset-00000027,2016年,12月,1,2016/12/14,/dataset-00000027,4,1,201612
dataset-00000027,2016年,12月,1,2016/12/14,/dataset-00000027/,4,2,201612
dataset-00000029,2016年,12月,1,2016/12/14,/dataset-00000029,2,2,201612
dataset-00000029,2016年,12月,1,2016/12/14,/dataset-00000029/,2,2,201612
dataset-00000030,2016年,12月,1,2016/12/14,/dataset-00000030,2,1,201612
dataset-00000030,2016年,12月,1,2016/12/14,/dataset-00000030/,2,2,201612
dataset-00000031,2016年,12月,1,2016/12/14,/dataset-00000031,2,1,201612
dataset-00000031,2016年,12月,1,2016/12/14,/dataset-00000031/,2,2,201612
dataset-00000032,2016年,12月,1,2016/12/14,/dataset-00000032,4,2,201612
dataset-00000032,2016年,12月,1,2016/12/14,/dataset-00000032/,4,4,201612
dataset-00000033,2016年,12月,1,2016/12/14,/dataset-00000033,2,1,201612
dataset-00000033,2016年,12月,1,2016/12/14,/dataset-00000033/,2,2,201612
dataset-00000034,2016年,12月,1,2016/12/14,/dataset-00000034,1,1,201612
dataset-00000034,2016年,12月,1,2016/12/14,/dataset-00000034/,2,2,201612
dataset-00000035,2016年,12月,1,2016/12/14,/dataset-00000035,2,1,201612
dataset-00000035,2016年,12月,1,2016/12/14,/dataset-00000035/,2,2,201612
dataset-00000036,2016年,12月,1,2016/12/14,/dataset-00000036,3,2,201612
dataset-00000036,2016年,12月,1,2016/12/14,/dataset-00000036/,4,4,201612
dataset-00000049,2016年,12月,1,2016/12/14,/dataset-00000049,1,1,201612
dataset-00000051,2016年,12月,1,2016/12/14,/dataset-00000051,2,2,201612
dataset-00000052,2016年,12月,1,2016/12/14,/dataset-00000052,1,1,201612
dataset-00000053,2016年,12月,1,2016/12/14,/dataset-00000053,1,1,201612
dataset-00000054,2016年,12月,1,2016/12/14,/dataset-00000054,2,1,201612
dataset-00000054,2016年,12月,1,2016/12/14,/dataset-00000054/,2,2,201612
gr_0010,2016年,12月,1,2016/12/14,/gr_0010,18,9,201612
gr_0020,2016年,12月,1,2016/12/14,/gr_0020,12,10,201612
gr_0020?page=1,2016年,12月,1,2016/12/14,/gr_0020?page=1,5,3,201612
gr_0020?page=2,2016年,12月,1,2016/12/14,/gr_0020?page=2,22,5,201612
gr_0030,2016年,12月,1,2016/12/14,/gr_0030,2,2,201612
gr_0040,2016年,12月,1,2016/12/14,/gr_0040,4,4,201612
gr_0050,2016年,12月,1,2016/12/14,/gr_0050,4,4,201612
gr_0060,2016年,12月,1,2016/12/14,/gr_0060,4,3,201612
gr_0070,2016年,12月,1,2016/12/14,/gr_0070,3,3,201612
gr_0080,2016年,12月,1,2016/12/14,/gr_0080,8,5,201612
http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,2016年,12月,1,2016/12/14,/http-www-city-kobe-lg-jp-ward-kuyakusho-higashinada-oshirase-kouhoushi,2,2,201612
kurashi,2016年,12月,1,2016/12/14,/kurashi/,1,1,201612
about,2016年,12月,1,2016/12/15,/about/,1,1,201612
anshin,2016年,12月,1,2016/12/15,/anshin/,2,1,201612
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,12月,1,2016/12/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2,1,201612
dataset-00000002,2016年,12月,1,2016/12/15,/dataset-00000002,5,1,201612
dataset-00000002,2016年,12月,1,2016/12/15,/dataset-00000002/,12,4,201612
dataset-00000003,2016年,12月,1,2016/12/15,/dataset-00000003,1,1,201612
dataset-00000004,2016年,12月,1,2016/12/15,/dataset-00000004,1,1,201612
dataset-00000007,2016年,12月,1,2016/12/15,/dataset-00000007,3,1,201612
dataset-00000007,2016年,12月,1,2016/12/15,/dataset-00000007/,4,4,201612
dataset-00000008,2016年,12月,1,2016/12/15,/dataset-00000008/,6,2,201612
dataset-00000010,2016年,12月,1,2016/12/15,/dataset-00000010,2,2,201612
dataset-00000010,2016年,12月,1,2016/12/15,/dataset-00000010/,6,4,201612
dataset-00000012,2016年,12月,1,2016/12/15,/dataset-00000012,2,1,201612
dataset-00000012,2016年,12月,1,2016/12/15,/dataset-00000012/,2,2,201612
dataset-00000019,2016年,12月,1,2016/12/15,/dataset-00000019,3,2,201612
dataset-00000019,2016年,12月,1,2016/12/15,/dataset-00000019/,4,4,201612
dataset-00000021,2016年,12月,1,2016/12/15,/dataset-00000021,1,1,201612
dataset-00000021,2016年,12月,1,2016/12/15,/dataset-00000021/,2,2,201612
dataset-00000026,2016年,12月,1,2016/12/15,/dataset-00000026,1,1,201612
dataset-00000045,2016年,12月,1,2016/12/15,/dataset-00000045,1,1,201612
dataset-00000045,2016年,12月,1,2016/12/15,/dataset-00000045/,2,1,201612
dataset-00000048,2016年,12月,1,2016/12/15,/dataset-00000048,1,1,201612
dataset-00000051,2016年,12月,1,2016/12/15,/dataset-00000051,1,1,201612
dataset-00000053,2016年,12月,1,2016/12/15,/dataset-00000053,1,1,201612
gr_0010,2016年,12月,1,2016/12/15,/gr_0010,5,4,201612
gr_0020,2016年,12月,1,2016/12/15,/gr_0020,7,4,201612
gr_0020?page=2,2016年,12月,1,2016/12/15,/gr_0020?page=2,3,1,201612
gr_0030,2016年,12月,1,2016/12/15,/gr_0030,3,3,201612
gr_0040,2016年,12月,1,2016/12/15,/gr_0040,5,4,201612
gr_0050,2016年,12月,1,2016/12/15,/gr_0050,4,2,201612
gr_0060,2016年,1
2000
2月,1,2016/12/15,/gr_0060,5,3,201612
gr_0070,2016年,12月,1,2016/12/15,/gr_0070,2,2,201612
gr_0080,2016年,12月,1,2016/12/15,/gr_0080,3,1,201612
iryo,2016年,12月,1,2016/12/15,/iryo/,3,1,201612
jigyosha,2016年,12月,1,2016/12/15,/jigyosha/,1,1,201612
kosodate,2016年,12月,1,2016/12/15,/kosodate/,3,1,201612
kotsu,2016年,12月,1,2016/12/15,/kotsu/,1,1,201612
kurashi,2016年,12月,1,2016/12/15,/kurashi/,1,1,201612
org_0040,2016年,12月,1,2016/12/15,/org_0040,2,1,201612
shisei,2016年,12月,1,2016/12/15,/shisei/,1,1,201612
sonota,2016年,12月,1,2016/12/15,/sonota/,2,1,201612
dataset-00000001,2016年,12月,1,2016/12/16,/dataset-00000001,1,1,201612
dataset-00000002,2016年,12月,1,2016/12/16,/dataset-00000002,43,18,201612
dataset-00000002,2016年,12月,1,2016/12/16,/dataset-00000002/,126,70,201612
dataset-00000006,2016年,12月,1,2016/12/16,/dataset-00000006,3,1,201612
dataset-00000006,2016年,12月,1,2016/12/16,/dataset-00000006/,4,2,201612
dataset-00000008,2016年,12月,1,2016/12/16,/dataset-00000008,3,2,201612
dataset-00000008,2016年,12月,1,2016/12/16,/dataset-00000008/,2,2,201612
dataset-00000009,2016年,12月,1,2016/12/16,/dataset-00000009,2,2,201612
dataset-00000011,2016年,12月,1,2016/12/16,/dataset-00000011,1,1,201612
dataset-00000012,2016年,12月,1,2016/12/16,/dataset-00000012,3,2,201612
dataset-00000012,2016年,12月,1,2016/12/16,/dataset-00000012/,2,2,201612
dataset-00000018,2016年,12月,1,2016/12/16,/dataset-00000018,2,1,201612
dataset-00000018,2016年,12月,1,2016/12/16,/dataset-00000018/,2,2,201612
dataset-00000019,2016年,12月,1,2016/12/16,/dataset-00000019,1,1,201612
dataset-00000019,2016年,12月,1,2016/12/16,/dataset-00000019/,2,2,201612
dataset-00000045,2016年,12月,1,2016/12/16,/dataset-00000045,2,1,201612
dataset-00000051,2016年,12月,1,2016/12/16,/dataset-00000051,1,1,201612
dataset-00000053,2016年,12月,1,2016/12/16,/dataset-00000053,4,3,201612
dataset-00000054,2016年,12月,1,2016/12/16,/dataset-00000054,6,2,201612
dataset-00000054,2016年,12月,1,2016/12/16,/dataset-00000054/,8,4,201612
gr_0010,2016年,12月,1,2016/12/16,/gr_0010,11,8,201612
gr_0020,2016年,12月,1,2016/12/16,/gr_0020,6,6,201612
gr_0030,2016年,12月,1,2016/12/16,/gr_0030,1,1,201612
gr_0040,2016年,12月,1,2016/12/16,/gr_0040,7,5,201612
gr_0050,2016年,12月,1,2016/12/16,/gr_0050,4,3,201612
gr_0080,2016年,12月,1,2016/12/16,/gr_0080,26,17,201612
groups,2016年,12月,1,2016/12/16,/groups/,1,1,201612
dataset-00000008,2016年,12月,1,2016/12/17,/dataset-00000008,1,1,201612
dataset-00000053,2016年,12月,1,2016/12/17,/dataset-00000053,1,1,201612
gr_0010,2016年,12月,1,2016/12/17,/gr_0010,1,1,201612
gr_0030,2016年,12月,1,2016/12/17,/gr_0030,1,1,201612
gr_0040,2016年,12月,1,2016/12/17,/gr_0040,1,1,201612
gr_0050,2016年,12月,1,2016/12/18,/gr_0050,1,1,201612
?s[area_id]=130,2016年,12月,1,2016/12/19,/?s[area_id]=130,2,2,201612
