0

HTTP/1.1 200 OK
Server: nginx
Date: Thu, 08 Jun 2017 08:42:46 GMT
Content-Type: application/octet-stream
Transfer-Encoding: chunked
Connection: keep-alive
Pragma: no-cache
Cache-Control: no-cache
Accept-Ranges: bytes
Last-Modified: Thu, 01 Jun 2017 05:15:53 GMT
Content-Range: bytes 0-1065009/1065010
ETag: "1496294153.22-1065010"

1f0f
﻿第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
dataset-00000001,2016年,04月,1,2016/04/14,/dataset-00000001,6,5,201604
dataset-00000001,2016年,04月,1,2016/04/14,/dataset-00000001/,4,3,201604
dataset-00000002,2016年,04月,1,2016/04/14,/dataset-00000002,8,5,201604
dataset-00000002,2016年,04月,1,2016/04/14,/dataset-00000002/,6,6,201604
dataset-00000003,2016年,04月,1,2016/04/14,/dataset-00000003,7,7,201604
dataset-00000003,2016年,04月,1,2016/04/14,/dataset-00000003/,2,1,201604
dataset-00000004,2016年,04月,1,2016/04/14,/dataset-00000004,5,3,201604
dataset-00000004,2016年,04月,1,2016/04/14,/dataset-00000004/,6,4,201604
dataset-00000005,2016年,04月,1,2016/04/14,/dataset-00000005,15,10,201604
dataset-00000005,2016年,04月,1,2016/04/14,/dataset-00000005/,10,6,201604
dataset-00000006,2016年,04月,1,2016/04/14,/dataset-00000006,12,8,201604
dataset-00000006,2016年,04月,1,2016/04/14,/dataset-00000006/,10,10,201604
dataset-00000007,2016年,04月,1,2016/04/14,/dataset-00000007,19,10,201604
dataset-00000007,2016年,04月,1,2016/04/14,/dataset-00000007/,31,20,201604
dataset-00000008,2016年,04月,1,2016/04/14,/dataset-00000008,18,12,201604
dataset-00000008,2016年,04月,1,2016/04/14,/dataset-00000008/,15,14,201604
dataset-00000009,2016年,04月,1,2016/04/14,/dataset-00000009,10,6,201604
dataset-00000009,2016年,04月,1,2016/04/14,/dataset-00000009/,2,2,201604
dataset-00000010,2016年,04月,1,2016/04/14,/dataset-00000010,30,21,201604
dataset-00000010,2016年,04月,1,2016/04/14,/dataset-00000010/,14,12,201604
dataset-00000011,2016年,04月,1,2016/04/14,/dataset-00000011,52,42,201604
dataset-00000011,2016年,04月,1,2016/04/14,/dataset-00000011/,64,53,201604
dataset-00000012,2016年,04月,1,2016/04/14,/dataset-00000012,28,23,201604
dataset-00000012,2016年,04月,1,2016/04/14,/dataset-00000012/,26,24,201604
dataset-00000013,2016年,04月,1,2016/04/14,/dataset-00000013,1,1,201604
dataset-00000014,2016年,04月,1,2016/04/14,/dataset-00000014,1,1,201604
dataset-00000015,2016年,04月,1,2016/04/14,/dataset-00000015,3,2,201604
dataset-00000015,2016年,04月,1,2016/04/14,/dataset-00000015/,2,2,201604
dataset-00000020,2016年,04月,1,2016/04/14,/dataset-00000020,5,4,201604
dataset-00000021,2016年,04月,1,2016/04/14,/dataset-00000021,3,1,201604
dataset-00000021,2016年,04月,1,2016/04/14,/dataset-00000021/,2,2,201604
dataset-00000023,2016年,04月,1,2016/04/14,/dataset-00000023,1,1,201604
dataset-00000031,2016年,04月,1,2016/04/14,/dataset-00000031,1,1,201604
dataset-00000036,2016年,04月,1,2016/04/14,/dataset-00000036,1,1,201604
dataset-00000037,2016年,04月,1,2016/04/14,/dataset-00000037,2,1,201604
dataset-00000037,2016年,04月,1,2016/04/14,/dataset-00000037/,2,1,201604
dataset-00000044,2016年,04月,1,2016/04/14,/dataset-00000044,2,1,201604
dataset-00000044,2016年,04月,1,2016/04/14,/dataset-00000044/,2,1,201604
dataset-00000045,2016年,04月,1,2016/04/14,/dataset-00000045,6,5,201604
dataset-00000045,2016年,04月,1,2016/04/14,/dataset-00000045/,16,9,201604
dataset-00000046,2016年,04月,1,2016/04/14,/dataset-00000046,3,3,201604
dataset-00000047,2016年,04月,1,2016/04/14,/dataset-00000047,2,2,201604
dataset-00000048,2016年,04月,1,2016/04/14,/dataset-00000048,4,3,201604
dataset-00000048,2016年,04月,1,2016/04/14,/dataset-00000048/,3,3,201604
dataset-00000050,2016年,04月,1,2016/04/14,/dataset-00000050,4,3,201604
dataset-00000050,2016年,04月,1,2016/04/14,/dataset-00000050/,2,2,201604
dataset-00000051,2016年,04月,1,2016/04/14,/dataset-00000051,11,10,201604
dataset-00000051,2016年,04月,1,2016/04/14,/dataset-00000051/,4,3,201604
dataset-00000052,2016年,04月,1,2016/04/14,/dataset-00000052,3,3,201604
dataset-00000053,2016年,04月,1,2016/04/14,/dataset-00000053,15,12,201604
dataset-00000053,2016年,04月,1,2016/04/14,/dataset-00000053/,25,17,201604
dataset-00000054,2016年,04月,1,2016/04/14,/dataset-00000054,82,59,201604
dataset-00000054,2016年,04月,1,2016/04/14,/dataset-00000054/,54,46,201604
gr_0010,2016年,04月,1,2016/04/14,/gr_0010,149,87,201604
gr_0020,2016年,04月,1,2016/04/14,/gr_0020,73,58,201604
gr_0020?page=1,2016年,04月,1,2016/04/14,/gr_0020?page=1,3,1,201604
gr_0020?page=2,2016年,04月,1,2016/04/14,/gr_0020?page=2,8,5,201604
gr_0030,2016年,04月,1,2016/04/14,/gr_0030,37,37,201604
gr_0040,2016年,04月,1,2016/04/14,/gr_0040,69,56,201604
gr_0050,2016年,04月,1,2016/04/14,/gr_0050,64,49,201604
gr_0060,2016年,04月,1,2016/04/14,/gr_0060,62,47,201604
gr_0070,2016年,04月,1,2016/04/14,/gr_0070,39,34,201604
gr_0080,2016年,04月,1,2016/04/14,/gr_0080,51,36,201604
gr_9900,2016年,04月,1,2016/04/14,/gr_9900,1,1,201604
groups,2016年,04月,1,2016/04/14,/groups/,10,8,201604
iryo,2016年,04月,1,2016/04/14,/iryo/,2,1,201604
jigyosha,2016年,04月,1,2016/04/14,/jigyosha/,2,2,201604
kanko,2016年,04月,1,2016/04/14,/kanko/,3,3,201604
kosodate,2016年,04月,1,2016/04/14,/kosodat
1000
e/,1,1,201604
kotsu,2016年,04月,1,2016/04/14,/kotsu/,3,2,201604
kurashi,2016年,04月,1,2016/04/14,/kurashi/,1,1,201604
org_0040,2016年,04月,1,2016/04/14,/org_0040,2,2,201604
org_0050,2016年,04月,1,2016/04/14,/org_0050,1,1,201604
org_0060,2016年,04月,1,2016/04/14,/org_0060,1,1,201604
org_0070,2016年,04月,1,2016/04/14,/org_0070,1,1,201604
org_0080,2016年,04月,1,2016/04/14,/org_0080,2,1,201604
org_0100,2016年,04月,1,2016/04/14,/org_0100,1,1,201604
org_0110,2016年,04月,1,2016/04/14,/org_0110,2,2,201604
org_0120,2016年,04月,1,2016/04/14,/org_0120,2,2,201604
org_0140,2016年,04月,1,2016/04/14,/org_0140,1,1,201604
org_0160,2016年,04月,1,2016/04/14,/org_0160,1,1,201604
org_0170,2016年,04月,1,2016/04/14,/org_0170,1,1,201604
org_0240,2016年,04月,1,2016/04/14,/org_0240,1,1,201604
shisei,2016年,04月,1,2016/04/14,/shisei/,4,3,201604
sonota,2016年,04月,1,2016/04/14,/sonota/,1,1,201604
?sort=released,2016年,04月,1,2016/04/15,/?sort=released,2,1,201604
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2016年,04月,1,2016/04/15,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2,1,201604
about,2016年,04月,1,2016/04/15,/about/,1,1,201604
activity,2016年,04月,1,2016/04/15,/activity/,4,2,201604
