number,name,zipcode,area,location,lat,lng,category,note
46,神戸大学 工学部(工学研究棟 門衛所),657-0013,灘区,神戸市灘区六甲台町1番1号,34.727233,135.237376,学校・園・児童館,対応不可
47,神戸大学 都市安全研究センター,657-0013,灘区,神戸市灘区六甲台町1番1号,34.728139,135.237709,学校・園・児童館,対応不可
48,神戸市立成徳小学校,657-0037,灘区,神戸市灘区備後町1丁目3-1,34.715357,135.242481,学校・園・児童館,対応不可
49,神戸市立高羽小学校,657-0023,灘区,神戸市灘区高羽町3丁目11番11号,34.723062,135.23911,学校・園・児童館,対応不可
50,神戸市立鶴甲小学校,657-0011,灘区,神戸市灘区鶴甲2丁目10番1号,34.733283,135.236773,学校・園・児童館,対応不可
51,神戸市立六甲山小学校,657-0101,灘区,神戸市灘区六甲山町北六甲4512-42,34.757399,135.2325,学校・園・児童館,対応不可
52,神戸市立西郷小学校,657-0043,灘区,神戸市灘区大石東町6丁目2番1号,34.706632,135.233135,学校・園・児童館,対応不可
53,神戸市立六甲小学校,657-0051,灘区,神戸市灘区八幡町4丁目4番1号,34.717422,135.23391,学校・園・児童館,対応不可
54,神戸市立灘小学校,657-0056,灘区,神戸市灘区千旦通1丁目5-1,34.713145,135.232866,学校・園・児童館,対応不可
55,神戸市立西灘小学校,657-0842,灘区,神戸市灘区船寺通3丁目4番1号,34.707564,135.228164,学校・園・児童館,対応不可
56,神戸市立稗田小学校,657-0832,灘区,神戸市灘区岸地通4丁目2-1,34.711132,135.222858,学校・園・児童館,対応不可
57,神戸市立美野丘小学校,657-0812,灘区,神戸市灘区箕岡通1丁目3-17,34.722618,135.221373,学校・園・児童館,対応不可
58,神戸市立摩耶小学校,657-0822,灘区,神戸市灘区畑原通4丁目1番1号,34.715591,135.220955,学校・園・児童館,対応不可
59,神戸市立福住小学校,657-0824,灘区,神戸市灘区福住通7丁目1番1号,34.71283,135.218787,学校・園・児童館,対応不可
60,播州信用金庫六甲道支店,657-0035,灘区,神戸市灘区友田町2丁目7番22号,34.71293,135.242725,商業施設,対応不可
61,播州信用金庫 灘支店,657-0831,灘区,神戸市灘区水道筋1丁目6-3,34.713863,135.227147,商業施設,対応不可
62,グランド六甲ビル,657-0035,灘区,神戸市灘区友田町5丁目2番2号,34.711475,135.239084,商業施設,対応不可
63,三井住友銀行 六甲支店,657-0065,灘区,神戸市灘区宮山町2丁目6-8,34.720547,135.234107,商業施設,対応不可
64,六甲摩耶鉄道山上駅,657-0101,灘区,神戸市灘区六甲山町一ヶ谷1番32号,34.751921,135.236918,公共交通機関,対応不可
65,六甲摩耶鉄道ケーブル下駅,657-0001,灘区,神戸市灘区高羽字西山8番の2,34.73727,135.233403,公共交通機関,対応不可
66,三井住友銀行 灘支店,657-0037,灘区,神戸市灘区備後町5丁目3-1-102,34.713762,135.238092,商業施設,対応不可
67,ゆうとぴ庵神戸石屋川,657-0034,灘区,神戸市灘区記田町1丁目3-7,34.714265,135.248496,福祉施設,対応不可
68,兵庫県立神戸高校,657-0804,灘区,神戸市灘区城の下通1丁目5-I,34.718058,135.214645,学校・園・児童館,対応不可
69,六甲山ホテル,657-0101,灘区,神戸市灘区六甲山町南六甲1034番地,34.75579,135.22642,宿泊施設,24時間利用可
70,(株)神鋼エンジニアリング&メンテナンス,657-0846,灘区,神戸市灘区岩屋北町4丁目5-22,34.704727,135.218977,会社・事業所,対応不可
71,(株)みなと銀行 水道筋支店,657-0831,灘区,神戸市灘区水道筋3-10-1,34.712977,135.22459,商業施設,対応不可
72,(株)みなと銀行 六甲道支店,657-0038,灘区,神戸市灘区深田町4丁目1-39,34.714532,135.239227,商業施設,対応不可
73,神戸信用金庫 石屋川支店,657-0034,灘区,神戸市灘区記田町2-3-19,34.714606,135.247619,商業施設,対応不可
74,かたの歯科医院,657-0815,灘区,神戸市灘区薬師通1-1-10,34.719893,135.222672,医療関連施設,対応不可
75,大西歯科,657-0064,灘区,神戸市灘区山田町2-1-1,34.721431,135.235465,医療関連施設,対応不可
76,さわだ歯科,657-0051,灘区,神戸市灘区八幡町4-5-8-1F,34.717918,135.234168,医療関連施設,対応不可
77,本庄歯科医院,657-0836,灘区,神戸市灘区城内通2丁目5-14本庄ビル2F,34.709164,135.218348,医療関連施設,対応不可
78,まえだファミリー歯科,657-0025,灘区,神戸市灘区高徳町4丁目1-1,34.718823,135.242606,医療関連施設,対応不可
80,フタニ歯科医院,657-0027,灘区,神戸市灘区永手町4丁目2-1フォレスタ六甲44,34.715605,135.238125,医療関連施設,対応不可
81,久保田歯科,657-0824,灘区,神戸市灘区福住通5-3-10,34.713743,135.220286,医療関連施設,対応不可
82,くずはら整形外科,657-0034,灘区,神戸市灘区記田町2丁目2-15,34.714216,135.247601,医療関連施設,対応不可
83,李内科クリニック,657-0053,灘区,神戸市灘区六甲町1-6-19,34.71618,135.235659,医療関連施設,対応不可
84,春日井クリニック,657-0028,灘区,神戸市灘区森後町3丁目3-21,34.715726,135.236561,医療関連施設,対応不可
86,鈴田内科・眼科医院,657-0059,灘区,神戸市灘区篠原南町3-7-13,34.717061,135.22958,医療関連施設,対応不可
87,山中眼科医院,657-0023,灘区,神戸市灘区高羽町2-10-13,34.723613,135.241101,医療関連施設,対応不可
88,おがわ内科クリニック,657-0835,灘区,神戸市灘区灘北通10-1-3-101,34.70632,135.217045,医療関連施設,対応不可
89,前田耳鼻咽喉科,657-0838,灘区,神戸市灘区王子町1-1-14前納ビル1F,34.710318,135.219203,医療関連施設,対応不可
91,いまにし泌尿器科,657-0846,灘区,神戸市灘区岩屋北町2-3-13,34.705463,135.220945,医療関連施設,対応不可
92,森クリニック,657-0846,灘区,神戸市灘区岩屋北町3-2-16,34.704789,135.219634,医療関連施設,対応不可
93,中井病院,657-0834,灘区,神戸市灘区泉通6-3-8,34.709734,135.222164,医療関連施設,対応不可
94,谷眼科医院,657-0028,灘区,神戸市灘区森後町3-1-7嶋田ビル1F,34.715518,135.237151,医療関連施設,対応不可
96,灘診療所,657-0831,灘区,神戸市灘区水道筋6-6-3,34.711074,135.220133,医療関連施設,対応不可
97,奥本医院,657-0043,灘区,神戸市灘区大石東町4丁目5-18,34.708573,135.23535,医療関連施設,対応不可
98,村山医院,657-0059,灘区,神戸市灘区篠原南町5-5-13,34.715686,135.227896,医療関連施設,対応不可
99,関本クリニック,657-0051,灘区,神戸市灘区八幡町3-4-5,34.718438,135.235726,医療関連施設,対応不可
100,廣海内科クリニック,657-0054,灘区,神戸市灘区稗原町1-3-23北嶋ビル1階,34.714313,135.236853,医療関連施設,対応不可
101,大田整形外科クリニック,657-0846,灘区,神戸市灘区岩屋北町5-1-31,34.704067,135.21676,医療関連施設,対応不可
102,辻本内科,657-0027,灘区,神戸市灘区永手町5-8-19,34.715446,135.237685,医療関連施設,対応不可
103,井原クリニック,657-0833,灘区,神戸市灘区大内通2-9-5,34.711832,135.227185,医療関連施設,対応不可
104,片野眼科,657-0036,灘区,神戸市灘区桜口町3-2-4,34.713142,135.2405,医療関連施設,対応不可
105,うすき医院,657-0035,灘区,神戸市灘区友田町4-4-7,34.711748,135.239752,医療関連施設,対応不可
107,うすき診療所,657-0027,灘区,神戸市灘区永手町5-3-25,34.715019,135.237872,医療関連施設,対応不可
108,竹内内科,657-0051,灘区,神戸市灘区八幡町2-1-29,34.718135,135.237816,医療関連施設,対応不可
